node_number,latitude,longitude,node_id
26,52.0917849,5.1047520,15080799
15,52.0833239,5.3849759,27595707
67,52.0850634,4.8740456,30183027
68,52.0772166,4.8753457,30407136
71,52.0963323,4.8939754,30782592
35,51.8619241,5.0275669,44130284
57,51.8622100,5.2832300,44131858
09,51.8622953,4.7320402,44132150
40,51.8634300,5.3785300,44136013
96,51.8641695,5.1257080,44138543
18,51.8655509,4.6741859,44143974
41,51.8672500,5.3754100,44149885
08,51.8674756,4.7492740,44150504
73,51.8676202,4.9020622,44151288
54,51.8680250,4.9982949,44153230
74,51.8687047,4.9022623,44155328
97,51.8688952,5.1233011,44156403
44,51.8707092,5.4153096,44165037
12,51.8714206,4.7848434,44168287
32,51.8726939,5.0752353,44173434
55,51.8730486,5.0048835,44175439
88,51.8736501,5.5533985,44177884
31,51.8740100,5.0751300,44179686
